Date, Minutes, Seconds, Distance, Notes,HR,Calories, Field 3, Field 4
"Jul 6, 2008",32,0,3,,,,,
"Jul 5, 2008",35,0,3.25,,,,,
"Jul 3, 2008",23,30,2.25,,,,,
"Jul 2, 2008",30,0,2.75,,,,,
"Jul 1, 2008",29,0,2.6,,,,,
"Jul 7, 2008",21,30,2,,,,,
"Jul 8, 2008",31,10,3,,,,,
"Jul 10, 2008",31,50,3,,,,,
"Jul 12, 2008",37,0,3.2,,,,,
"Jul 13, 2008",44,10,4,,,,,
"Jul 19, 2008",22,30,2,,,,,
"Jul 20, 2008",37,0,3.33,,,,,
"Jul 26, 2008",44,30,4.2,,,,,
"Jul 27, 2008",22,0,2,,,,,
"Jul 28, 2008",33,30,3,,,,,
"Jul 29, 2008",43,0,4,,,,,
"Jul 31, 2008",32,30,3,,,,,
"Aug 2, 2008",53,3,5,,,,,
"Aug 3, 2008",31,30,3,,,,,
"Aug 17, 2008",43,20,4,,,,,
"Aug 14, 2008",35,0,3,,,,,
"Aug 11, 2008",30,0,2.5,,,,,
"Aug 5, 2008",25,0,2.2,,,,,
"Aug 6, 2008",25,0,2.2,,,,,
"Aug 7, 2008",15,0,1.5,,,,,
"Aug 20, 2008",32,0,3,,,,,
"Aug 19, 2008",44,20,4,,,,,
"Aug 23, 2008",48,15,4.7,,,,,
"Aug 25, 2008",60,0,5.35,,,,,
"Aug 31, 2008",35,0,3.1,,,,,
"Sep 14, 2008",33,40,2.8,,,,,
"Mar 13, 2009",45,0,4.7,,,,,
"Mar 14, 2009",49,17,5.2,,,,,
"Mar 16, 2009",38,35,3.87,,,,,
"Mar 18, 2009",42,48,4.41,,,,,
"Mar 21, 2009",46,35,4.66,,,,,
"Mar 24, 2009",50,13,4.65,,,,,
"Mar 27, 2009",56,50,5.51,,,,,
"Mar 29, 2009",46,28,4.68,,,,,
"Apr 1, 2009",49,50,4.68,,,,,
"Apr 2, 2009",53,41,5.25,,,,,
"Apr 4, 2009",40,24,3.87,,,,,
"Apr 7, 2009",67,38,6.4,,,,,
"Apr 12, 2009",72,30,6.3,,,,,
"Apr 13, 2009",62,28,5.85,,,,,
"Apr 14, 2009",66,28,6.28,,,,,
"Apr 16, 2009",61,17,5.78,,,,,
"Apr 19, 2009",84,45,7.6,http://www.gmap-pedometer.com/?r=2743152,,,,
"Apr 20, 2009",96,5,8.86,http://www.gmap-pedometer.com/?r=2747828,,,,
"Apr 23, 2009",92,21,8.3,http://www.gmap-pedometer.com/?r=2757740,,,,
"Apr 24, 2009",34,52,3.16,,,,,
"Apr 25, 2009",30,43,2.81,,,,,
"Apr 26, 2009",82,20,7.55,,,,,
"Apr 28, 2009",89,21,8.11,http://www.gmap-pedometer.com/?r=2773884,,,,
"Apr 30, 2009",80,10,7.28,,,,,
"May 1, 2009",62,59,5.5,,,,,
"May 2, 2009",62,8,5.28,871 calories,,871,,
"May 3, 2009",97,27,8.07,1232; 150/162,150,1232,,
"May 4, 2009",60,59,5.39,746; 147/162,147,746,,
"May 5, 2009",112,1,9.31,1382; 148/162,148,1382,,
"May 6, 2009",32,24,3.13,414; 151/167,151,414,,
"May 7, 2009",76,59,6.52,953; 148/159,148,953,,
"May 8, 2009",80,55,6.74,990; 147/157,147,990,,
"May 9, 2009",24,54,2.02,300; 146/158,146,300,,
"May 11, 2009",100,29,8.18,1385; 158/175 -- extremely hot,158,1385,,
"May 12, 2009",95,11,8,1202; 150/161,150,1202,,
"May 13, 2009",95,15,7.99,1107; 143/177,143,1107,,
"May 15, 2009",71,20,6.49,944; 154/166,154,944,,
"May 18, 2009",78,17,6.78,1043; 155/168,155,1043,,
"May 19, 2009",96,16,8.41,1222; 150/165,150,1222,,
"May 21, 2009",117,28,10.14,1432;143/165,143,1432,,
"May 22, 2009",60,16,5.11,723; 141/162,141,723,,
"May 24, 2009",74,42,6.63,994;151/162,151,994,,
"May 25, 2009",117,13,10.18,1425;142/161,142,1425,,
"May 26, 2009",86,40,7.28,1071;144/155,144,1071,,
"May 28, 2009",96,27,8.43,1204;147/161,147,1204,,
"May 30, 2009",60,49,5.35,763; 149/161,149,763,,
"May 31, 2009",82,5,7.29,1036; 148/160,148,1036,,
"Jun 1, 2009",92,13,7.91,1137;146/158 --- pain in tendon behind inside of right knee,146,1137,,
"Jun 3, 2009",73,48,6.03,889;144/158,144,889,,
"Jun 8, 2009",72,14,5.89,1035;157/169 --- still sick apparently.,157,1035,,
"Jun 14, 2009",78,0,6.61,1071;155/217 (that can't be right),155,1071,,
"Jun 16, 2009",55,55,4.88,765;153/168,153,765,,
"Jun 17, 2009",59,5,5.04,712;143/158,143,712,,
"Jun 18, 2009",72,2,6.43,867;142/157,142,867,,
"Jun 20, 2009",115,30,10.43,1537;150/162 -- PR -- http://www.gmap-pedometer.com/?r=2934649,150,1537,,
"Jun 21, 2009",61,33,5.53,777;146/159,146,777,,
"Jun 22, 2009",69,25,6.45,909;149/184,149,909,,
"Jun 24, 2009",73,29,6.6,961;149/160,149,961,,
"Jun 26, 2009",125,10,11.5,1684;153/172,153,1684,,
"Jun 27, 2009",71,36,6.53,952;151/158,151,952,,
"Jun 28, 2009",74,20,6.56,996;151/225 --- bad max HR data??,151,996,,
"Jun 29, 2009",71,23,6.51,893;145/163,145,893,,
"Jul 1, 2009",73,22,6.53,953;153/199,153,953,,
"Jul 2, 2009",135,28,12.17,1748;155/175,155,1748,,
"Jul 3, 2009",70,55,6.51,889;150/161,150,889,,
"Jul 5, 2009",73,28,6.54,837;143/154,143,837,,
"Jul 7, 2009",44,24,4.6,552;156/180,156,552,,
"Jul 8, 2009",75,54,7.25,934;150/201,150,934,,
"Jul 9, 2009",76,37,7.2,914;147/158,147,914,,
"Jul 10, 2009",77,15,7.23,894;145/160,145,894,,
"Jul 11, 2009",77,19,7.24,888;144/159,144,888,,
"Jul 12, 2009",153,55,14.02,1887;149/162,149,1887,,
"Jul 13, 2009",75,34,7.24,928;149/162,149,928,,
"Jul 15, 2009",30,44,2.67,314;135/155,135,314,,
"Jul 18, 2009",74,55,7.08,991;156,156,991,,
"Jul 22, 2009",49,9,4.52,623;152,152,623,,
"Jul 23, 2009",48,43,4.51,586;149,149,586,,
"Jul 25, 2009",50,38,4.43,651;153,153,651,,
"Jul 26, 2009",79,40,7.35,985;151,151,985,,
"Jul 27, 2009",57,40,5.5,775;155,155,775,,
"Jul 29, 2009",80,20,7.44,985;150,150,985,,
"Jul 30, 2009",79,46,7.4,998;153,153,998,,
"Aug 1, 2009",61,0,5.54,748;150,150,748,,
"Aug 3, 2009",58,2,5.56,778;155,155,778,,
"Aug 5, 2009",78,42,7.38,1076;157,157,1076,,
"Aug 6, 2009",60,17,5.52,754;149,149,754,,
"Aug 8, 2009",88,27,8.31,1184;155,155,1184,,
"Aug 9, 2009",91,26,8.6,1206;154,154,1206,,
"Aug 12, 2009",87,15,8.62,1197;159,159,1197,,
"Aug 13, 2009",59,9,5.8,817;158,158,817,,
"Aug 16, 2009",86,6,8.11,1149;155,155,1149,,
"Aug 25, 2009",57,58,5.43,762;154,154,762,,
"Aug 27, 2009",53,49,5.52,778;162,162,778,,
"Aug 30, 2009",54,6,5.5,788;166,166,788,,
"Aug 31, 2009",65,48,6.09,887;156,156,887,,
"Sep 11, 2009",79,59,7.21,1199;166,166,1199,,
"Sep 14, 2009",76,18,7.23,1186;170,170,1186,,
"Sep 16, 2009",76,27,7.21,1211;171,171,1211,,
"Sep 17, 2009",34,13,3.26,495;163,163,495,,
"Sep 25, 2009",76,20,6.98,1093;162,162,1093,,
"Sep 28, 2009",71,18,6.48,1029;166,166,1029,,
"Sep 29, 2009",85,39,8.08,1238;163,163,1238,,
"Oct 1, 2009",67,42,6.16,999;165,165,999,,
"Oct 2, 2009",77,10,7.16,997;154,154,997,,
"Oct 4, 2009",70,27,6.42,1076;168,168,1076,,
"Oct 5, 2009",94,57,8.84,1255;155,155,1255,,
"Oct 7, 2009",84,16,8.13,1088;154,154,1088,,
"Oct 8, 2009",30,40,3.12,452;164,164,452,,
"Oct 12, 2009",79,11,7.35,1113;159,159,1113,,
"Oct 13, 2009",29,48,3.12,472;171,171,472,,
"Oct 14, 2009",55,53,5.42,843;167,167,843,,
"Oct 16, 2009",30,18,3.12,406;161,161,406,,
"Oct 15, 2009",38,0,3.09,412;141,141,412,,
"Oct 17, 2009",65,17,6.49,940;159,159,940,,
"Oct 20, 2009",32,15,3.11,514;167,167,514,,
"Oct 21, 2009",33,23,3.13,453;154,154,453,,
"Oct 22, 2009",30,38,3.09,452;162,162,452,,
"Oct 24, 2009",74,11,7.2,1077;161,161,1077,,
"Oct 25, 2009",28,29,2.41,340;143,143,340,,
"Oct 27, 2009",29,57,3.14,466;167,167,466,,
"Oct 28, 2009",41,59,4.35,644;166,166,644,,
"Oct 29, 2009",34,11,3.27,523;166,166,523,,
"Oct 31, 2009",55,39,5.49,735;159,159,735,,
"Oct 30, 2009",28,47,2.29,,,,,
"Nov 1, 2009",20,0,2,,,,,
"Nov 3, 2009",34,3,3.28,482;164,164,482,,
"Nov 4, 2009",46,53,4.34,684;160,160,684,,
"Nov 5, 2009",33,43,3.12,471;157,157,471,,
"Nov 7, 2009",101,50,9.3,1488;161,161,1488,,
"Nov 10, 2009",35,59,3.29,511;159,159,511,,
"Nov 11, 2009",56,8,5.2,773;155,155,773,,
"Nov 12, 2009",37,52,3.11,459;144,144,459,,
"Nov 14, 2009",116,23,10.3,161;1441,161,1441,,
"Nov 15, 2009",29,50,3.1,440;160,160,440,,
"Nov 17, 2009",47,13,3.82,500,,500,,
"Nov 18, 2009",55,48,5.4,752;153,153,752,,
"Nov 19, 2009",39,43,3.26,467;141,141,467,,
"Nov 21, 2009",79,44,7.61,1133;158,158,1133,,
"Nov 25, 2009",63,10,6.13,949;164,164,949,,
"Nov 26, 2009",59,24,5.03,600;152,152,600,,
"Nov 28, 2009",135,41,12.6,http://www.gmap-pedometer.com/?r=3343704,,,,
"Nov 29, 2009",30,30,3.1,,,,,
"Dec 1, 2009",42,42,4.02,607;159,159,607,,
"Dec 2, 2009",68,51,6.78,647;135,135,647,,
"Dec 3, 2009",39,31,3.3,502;148,148,502,,
"Dec 5, 2009",143,11,13.65,2030;160,160,2030,,
"Dec 8, 2009",44,15,3.51,533;143,143,533,,
"Dec 9, 2009",73,2,7.49,1063;160,160,1063,,
"Dec 10, 2009",48,40,4.94,691;158,158,691,,
"Dec 12, 2009",113,3,10.76,,,,,
"Dec 17, 2009",56,8,5.4,793;158,158,793,,
"Dec 16, 2009",64,37,5.97,968;163,163,968,,
"Dec 18, 2009",44,11,4.13,611;155,155,611,,
"Dec 20, 2009",152,9,15.35,2005;152,152,2005,,
"Dec 22, 2009",42,28,4.02,608;159,159,608,,
"Dec 23, 2009",88,16,8.02,,,,,
"Dec 25, 2009",14,52,1.39,203;155,155,203,,
"Dec 28, 2009",165,2,16.13,,,,,
"Dec 31, 2009",50,38,5.18,,,,,
"Jan 6, 2010",94,52,9.39,,,,,
"Jan 7, 2010",57,29,5.54,815;158,158,815,,
"Jan 9, 2010",191,8,18.1,2665;160,160,2665,,
"Jan 12, 2010",56,30,5.51,839;163,163,839,,
"Jan 13, 2010",100,54,9.43,1416;157,157,1416,,
"Jan 14, 2010",57,29,5.5,731;150,150,731,,
"Jan 17, 2010",152,47,14.03,2200;160,160,2200,,
"Jan 19, 2010",59,43,5.44,,,,,
"Jan 20, 2010",109,21,10.1,1577;161,161,1577,,
"Jan 24, 2010",222,55,20.34,3280;162,162,3280,,
"Jan 26, 2010",53,17,4.4,652;75,144,652,,
"Jan 27, 2010",86,33,8.02,1204;81,155,1204,,
"Jan 28, 2010",34,55,3.31,501;160,160,501,,
"Jan 30, 2010",132,38,12.77,1600;145?,145,1600,,
"Feb 2, 2010",50,34,4.39,,,,,
"Feb 3, 2010",67,2,6.28,,,,,
"Feb 4, 2010",35,29,3.21,416;157,157,416,,
"Feb 6, 2010",85,57,8.27,1044;154,154,1044,,
"Feb 9, 2010",34,2,3.22,,,,,
"Feb 13, 2010",23,47,2,424.79 miles over 18 weeks of training...,,,,
"Feb 14, 2010",277,58,26.2,,,,,
"Feb 21, 2010",45,58,4.37,,,,,
"Feb 28, 2010",44,57,4.35,669;163,163,669,,
"Mar 1, 2010",41,4,3.87,550;152,152,550,,
"Mar 13, 2010",55,58,5.05,810;164,164,810,,
"Mar 21, 2010",56,48,5.3,600;151,151,600,,
"Apr 18, 2010",31,4,3.27,409;167,167,409,,
"Apr 12, 2010",54,2,5.06,628;157,157,628,,
"Apr 21, 2010",33,6,3.18,405;157,157,405,,
"Apr 19, 2010",33,38,3.07,433;151,151,433,,
"Apr 25, 2010",39,33,3.84,500;151,151,500,,
"Apr 27, 2010",40,50,3.92,544;156,156,544,,
"Apr 29, 2010",43,38,3.72,,,,,
"May 1, 2010",48,0,4.39,666;161,161,666,,
"May 8, 2010",53,56,5.08,786;163,163,786,,
"May 12, 2010",33,49,3.17,480;163,163,480,,
"May 15, 2010",45,0,4.35,650;163,163,650,,
"May 16, 2010",39,49,3.8,466;155,155,466,,
"May 22, 2010",52,1,4.7,752;162,162,752,,
"May 23, 2010",51,50,4.02,635;147,147,635,,
"Jun 8, 2010",55,36,4.81,797;157,157,797,,
"Jun 10, 2010",40,35,4,581; (treadmill),,581,,
"Jun 11, 2010",32,30,3.1,450,,450,,
"Jun 14, 2010",30,40,3.1,450,,450,,
"Jun 16, 2010",73,30,7,900,,900,,
"Jun 19, 2010",34,3,3.16,555;168,168,555,,
"Jun 24, 2010",50,0,5.1,650,,650,,
"Aug 14, 2010",23,0,2,,,,,